Tempo (s),Posicao X,Posicao Y
0.0,272,554
0.016683333333333335,265,554
0.03336666666666667,258,555
0.050050000000000004,251,555
0.06673333333333334,245,555
0.08341666666666667,238,555
0.10010000000000001,231,555
0.11678333333333334,225,555
0.13346666666666668,218,555
0.15015,212,555
0.16683333333333333,206,554
0.1835166666666667,200,554
0.20020000000000002,194,554
0.21688333333333334,188,554
0.23356666666666667,182,554
0.25025000000000003,177,553
0.26693333333333336,172,553
0.2836166666666667,168,552
0.3003,164,552
0.31698333333333334,160,551
0.33366666666666667,157,551
0.35035000000000005,153,551
0.3670333333333334,152,551
0.3837166666666667,149,550
0.40040000000000003,149,550
0.41708333333333336,146,550
0.4337666666666667,146,550
0.4504500000000001,146,550
0.46713333333333334,146,550
0.4838166666666667,146,550
0.5005000000000001,147,550
0.5171833333333333,149,550
0.5338666666666667,151,550
0.55055,153,551
0.5672333333333334,156,551
0.5839166666666666,159,552
0.6006,163,552
0.6172833333333334,167,553
0.6339666666666667,172,553
0.6506500000000001,177,553
0.6673333333333333,182,554
0.6840166666666667,187,554
0.7007000000000001,193,554
0.7173833333333334,199,554
0.7340666666666668,205,554
0.75075,211,554
0.7674333333333334,218,554
0.7841166666666667,224,554
0.8008000000000001,231,554
0.8174833333333333,238,554
0.8341666666666667,245,554
0.85085,251,554
0.8675333333333334,259,554
0.8842166666666668,265,553
0.9009000000000001,272,552
0.9175833333333334,279,551
0.9342666666666667,269,560
0.9509500000000001,275,560
0.9676333333333333,282,559
0.9843166666666667,288,559
1.0010000000000001,294,558
1.0176833333333333,300,557
1.0343666666666667,305,556
1.05105,310,556
1.0677333333333334,315,555
1.0844166666666668,319,555
1.1011,323,554
1.1177833333333334,326,554
1.1344666666666667,329,554
1.1511500000000001,332,553
1.1678333333333333,334,553
1.1845166666666667,336,553
1.2012,337,553
1.2178833333333334,338,553
1.2345666666666668,339,553
1.25125,339,553
1.2679333333333334,339,553
1.2846166666666667,338,553
1.3013000000000001,337,554
1.3179833333333335,335,554
1.3346666666666667,333,554
1.35135,330,555
1.3680333333333334,327,556
1.3847166666666668,324,556
1.4014000000000002,320,556
1.4848166666666667,297,560
1.55155,273,562
1.6182833333333335,246,563
1.6850166666666668,237,555
